"post_title","post_name","post_parent","ID","post_content","post_excerpt","post_status","post_password","menu_order","post_date","post_author","comment_status","sku","parent_sku","children","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","sold_individually","low_stock_amount","manage_stock","tax_status","upsell_ids","crosssell_ids","purchase_note","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","images","downloadable_files","product_page_url","meta:total_sales","meta:_global_unique_id","tax:product_brand","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:Opcije","attribute_data:Opcije","attribute:Optimalan raspon promjera udarnog bušenja","attribute_data:Optimalan raspon promjera udarnog bušenja","attribute:Težina u skladu s postupkom EPTA 01/2003 bez baterije.","attribute_data:Težina u skladu s postupkom EPTA 01/2003 bez baterije."
"Baterijska udarna bušilica TE 2-22","baterijska-udarna-builica-te-2-22","","","<p>Kompaktna i lagana baterijska udarna bušilica SDS Plus s pištoljskom drškom kompaktnog dizajna za najbolje mogućnosti upravljanja prilikom bušenja iznad glave (baterijska platforma Nuron) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 2.3 kg Optimalan raspon promjera udarnog bušenja: 4 - 12 mm Snaga pojedinačnog udara: 1.5 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 2.3 kg</li><li>Optimalan raspon promjera udarnog bušenja: 4 - 12 mm</li><li>Snaga pojedinačnog udara: 1.5 J</li><li>Raspon promjera udarnog bušenja: 4 - 22 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 1090 o/min</li><li>Potpuna frekvencija udarnog načina: 4860 udarci po minuti</li><li>Funkcionalnost: Obrnuti način, Radno LED svjetlo</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 13.7 m/s² 1</li><li>Razina emisija snage zvuka, ponderirana s A: 103 dB (A) 2</li><li>Razina emisija jakosti zvuka, ponderirana s A: 95 dB (A) 3</li></ul>","Kompaktna i lagana baterijska udarna bušilica SDS Plus s pištoljskom drškom kompaktnog dizajna za najbolje mogućnosti upravljanja prilikom bušenja iznad glave (baterijska platforma Nuron) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 2.3 kg Optimalan raspon promjera udarnog bušenja: 4 - 12 mm Snaga pojedinačnog udara: 1.5 J Više informacija","publish","","","","","closed","r13250310","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250310","","https://alat.printeraduo.hr/wp-content/uploads/baterijska-udarna-builica-te-2-22.jpg ! alt :  ! title : baterijska-udarna-builica-te-2-22 ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250310","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","4 - 12 mm","1|1|0","2.3 kg","1|1|0"
"Udarna bušilica TE 3-C","udarna-builica-te-3-c","","","<p>Snažna udarna bušilica kompaktnog dizajna s tri načina rada SDS Plus (TE-C) s funkcijom kidanja Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3 kg Optimalan raspon promjera udarnog bušenja: 6 - 16 mm Snaga pojedinačnog udara: 2.5 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3 kg</li><li>Optimalan raspon promjera udarnog bušenja: 6 - 16 mm</li><li>Snaga pojedinačnog udara: 2.5 J</li><li>Način rada: Udarno bušenje, Klesanje, Bušenje, Podešavanje sjekača</li><li>Raspon promjera udarnog bušenja: 4 - 28 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 1070 o/min</li><li>Potpuna frekvencija udarnog načina: 5160 udarci po minuti</li><li>Funkcionalnost: Obrnuti način, Mjerač dubine, Kidanje</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 15.4 m/s² 1</li><li>Triaksijalne vibracije za klesanje u betonu: 11.4 m/s² 2</li><li>Razina emisija jakosti zvuka, ponderirana s A: 95 dB (A) 3</li><li>Nazivna ulazna snaga: 850 W</li><li>Mjere (D x Š x V): 377 x 88 x 204 mm</li></ul>","Snažna udarna bušilica kompaktnog dizajna s tri načina rada SDS Plus (TE-C) s funkcijom kidanja Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3 kg Optimalan raspon promjera udarnog bušenja: 6 - 16 mm Snaga pojedinačnog udara: 2.5 J Više informacija","publish","","","","","closed","r5269003","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r5269003","","https://alat.printeraduo.hr/wp-content/uploads/udarna-builica-te-3-c.jpg ! alt :  ! title : udarna-builica-te-3-c ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r5269003","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","6 - 16 mm","1|1|0","3 kg","1|1|0"
"Udarna bušilica TE 3-M","udarna-builica-te-3-m","","","<p>Snažna višenamjenska udarna bušilica kompaktnog dizajna s tri načina rada SDS Plus (TE-C) s funkcijom kidanja Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3.1 kg Optimalan raspon promjera udarnog bušenja: 6 - 16 mm Snaga pojedinačnog udara: 2.5 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3.1 kg</li><li>Optimalan raspon promjera udarnog bušenja: 6 - 16 mm</li><li>Snaga pojedinačnog udara: 2.5 J</li><li>Način rada: Klesanje, Bušenje, Udarno bušenje, Podešavanje sjekača</li><li>Raspon promjera udarnog bušenja: 4 - 28 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 1070 o/min</li><li>Potpuna frekvencija udarnog načina: 5160 udarci po minuti</li><li>Funkcionalnost: Uklonjiva stezna glava, Obrnuti način, Mjerač dubine, Kidanje, 2. brzina za bušenje u metalu</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 15.2 m/s² 1</li><li>Triaksijalne vibracije za klesanje u betonu: 11.1 m/s² 2</li><li>Razina emisija jakosti zvuka, ponderirana s A: 94 dB (A) 3</li><li>Nazivna ulazna snaga: 850 W</li><li>Mjere (D x Š x V): 377 x 88 x 204 mm</li></ul>","Snažna višenamjenska udarna bušilica kompaktnog dizajna s tri načina rada SDS Plus (TE-C) s funkcijom kidanja Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3.1 kg Optimalan raspon promjera udarnog bušenja: 6 - 16 mm Snaga pojedinačnog udara: 2.5 J Više informacija","publish","","","","","closed","r5269167","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r5269167","","https://alat.printeraduo.hr/wp-content/uploads/udarna-builica-te-3-m.jpg ! alt :  ! title : udarna-builica-te-3-m ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r5269167","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","6 - 16 mm","1|1|0","3.1 kg","1|1|0"
"Baterijska udarna bušilica TE 4-22","baterijska-udarna-builica-te-4-22","","","<p>Kompaktna baterijska udarna bušilica SDS s našim najboljim omjerom performansi i mase za bušenje iznad glave (baterijska platforma Nuron) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 2.45 kg Optimalan raspon promjera udarnog bušenja: 4 - 14 mm Snaga pojedinačnog udara: 2.3 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 2.45 kg</li><li>Optimalan raspon promjera udarnog bušenja: 4 - 14 mm</li><li>Snaga pojedinačnog udara: 2.3 J</li><li>Raspon promjera udarnog bušenja: 4 - 28 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 1050 o/min</li><li>Potpuna frekvencija udarnog načina: 5100 udarci po minuti</li><li>Funkcionalnost: Aktivna kontrola zakretnog momenta (ATC), Aktivno smanjenje vibracija (AVR), Mjerač dubine, Udarno bušenje, Integrirani sistem za uklanjanje prašine (DRS), Obrnuti način, Radno LED svjetlo</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 12.3 m/s² 1</li><li>Razina emisija snage zvuka, ponderirana s A: 98 dB (A) 2</li><li>Razina emisija jakosti zvuka, ponderirana s A: 90 dB (A) 3</li><li>Dostupan je sistem za uklanjanje prašine: TE DRS-4/6, TE DRS-C, TE DRS-D</li></ul>","Kompaktna baterijska udarna bušilica SDS s našim najboljim omjerom performansi i mase za bušenje iznad glave (baterijska platforma Nuron) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 2.45 kg Optimalan raspon promjera udarnog bušenja: 4 - 14 mm Snaga pojedinačnog udara: 2.3 J Više informacija","publish","","","","","closed","r13250308","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250308","","https://alat.printeraduo.hr/wp-content/uploads/baterijska-udarna-builica-te-4-22.jpg ! alt :  ! title : baterijska-udarna-builica-te-4-22 ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250308","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","4 - 14 mm","1|1|0","2.45 kg","1|1|0"
"Baterijska udarna bušilica TE 6-22","baterijska-udarna-builica-te-6-22","","","<p>Svestrana baterijska udarna bušilica SDS Plus sa širokim rasponom bušenja, funkcijom odlomljavanja i steznom glavom za brzu izmjenu (baterijska platforma Nuron) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 2.84 kg Optimalan raspon promjera udarnog bušenja: 6 - 18 mm Snaga pojedinačnog udara: 2.6 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 2.84 kg</li><li>Optimalan raspon promjera udarnog bušenja: 6 - 18 mm</li><li>Snaga pojedinačnog udara: 2.6 J</li><li>Raspon promjera udarnog bušenja: 4 - 28 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 1050 o/min</li><li>Potpuna frekvencija udarnog načina: 5100 udarci po minuti</li><li>Funkcionalnost: Aktivna kontrola zakretnog momenta (ATC), Aktivno smanjenje vibracija (AVR), Klesanje, Kidanje, Mjerač dubine, Uklonjiva stezna glava, Obrnuti način, Spojka zateznog momenta</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 10.7 m/s² 1</li><li>Triaksijalne vibracije za klesanje u betonu: 5.5 m/s² 2</li><li>Razina emisija snage zvuka, ponderirana s A: 102 dB (A) 3</li><li>Razina emisija jakosti zvuka, ponderirana s A: 94 dB (A) 4</li><li>Dostupan je sistem za uklanjanje prašine: TE DRS-4/6, TE DRS-C, TE DRS-D</li></ul>","Svestrana baterijska udarna bušilica SDS Plus sa širokim rasponom bušenja, funkcijom odlomljavanja i steznom glavom za brzu izmjenu (baterijska platforma Nuron) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 2.84 kg Optimalan raspon promjera udarnog bušenja: 6 - 18 mm Snaga pojedinačnog udara: 2.6 J Više informacija","publish","","","","","closed","r13250305","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250305","","https://alat.printeraduo.hr/wp-content/uploads/baterijska-udarna-builica-te-6-22.jpg ! alt :  ! title : baterijska-udarna-builica-te-6-22 ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250305","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","6 - 18 mm","1|1|0","2.84 kg","1|1|0"
"Udarna bušilica TE 6-CL","udarna-builica-te-6-cl","","","<p>Snažna udarna bušilica SDS Plus (TE-C) s D-drškom i funkcijom usitnjavanja Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3.38 kg Optimalan raspon promjera udarnog bušenja: 6 - 16 mm Snaga pojedinačnog udara: 2.3 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3.38 kg</li><li>Optimalan raspon promjera udarnog bušenja: 6 - 16 mm</li><li>Snaga pojedinačnog udara: 2.3 J</li><li>Način rada: Udarno bušenje, Bušenje, Klesanje, Podešavanje sjekača</li><li>Raspon promjera udarnog bušenja: 4 - 28 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 960 o/min</li><li>Potpuna frekvencija udarnog načina: 4680 udarci po minuti</li><li>Funkcionalnost: Klesanje, Mjerač dubine, Obrnuti način, Uklonjiva stezna glava</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 17.3 m/s² 1</li><li>Triaksijalne vibracije za klesanje u betonu: 10.1 m/s² 2</li><li>Razina emisija jakosti zvuka, ponderirana s A: 92 dB (A) 3</li><li>Nazivna ulazna snaga: 890 W</li><li>Mjere (D x Š x V): 325 x 93 x 221 mm</li></ul>","Snažna udarna bušilica SDS Plus (TE-C) s D-drškom i funkcijom usitnjavanja Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3.38 kg Optimalan raspon promjera udarnog bušenja: 6 - 16 mm Snaga pojedinačnog udara: 2.3 J Više informacija","publish","","","","","closed","r12818102","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r12818102","","https://alat.printeraduo.hr/wp-content/uploads/udarna-builica-te-6-cl.jpg ! alt :  ! title : udarna-builica-te-6-cl ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r12818102","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","6 - 16 mm","1|1|0","3.38 kg","1|1|0"
"Baterijska udarna bušilica TE 30-22","baterijska-udarna-builica-te-30-22","","","<p>Snažna baterijska udarna bušilica SDS Plus (TE-C) s Aktivnim smanjenjem vibracija i Aktivnom kontrolom zakretnog momenta za bušenje betona i sječenje (baterijska platforma Nuron) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3.9 kg Optimalan raspon promjera udarnog bušenja: 10 - 25 mm Snaga pojedinačnog udara: 3.8 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3.9 kg</li><li>Optimalan raspon promjera udarnog bušenja: 10 - 25 mm</li><li>Snaga pojedinačnog udara: 3.8 J</li><li>Raspon promjera udarnog bušenja: 5 - 28 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 777 o/min</li><li>Potpuna frekvencija udarnog načina: 4500 udarci po minuti</li><li>Funkcionalnost: Aktivna kontrola zakretnog momenta (ATC), Aktivno smanjenje vibracija (AVR), Klesanje, Kidanje, Mjerač dubine, Uklonjiva stezna glava, Obrnuti način, Spojka zateznog momenta</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 11.1 m/s² 1</li><li>Triaksijalne vibracije za klesanje u betonu: 8.5 m/s² 2</li><li>Razina emisija snage zvuka, ponderirana s A: 102 dB (A) 3</li><li>Razina emisija jakosti zvuka, ponderirana s A: 94 dB (A) 4</li><li>Dostupan je sistem za uklanjanje prašine: TE DRS-D, TE DRS-C</li></ul>","Snažna baterijska udarna bušilica SDS Plus (TE-C) s Aktivnim smanjenjem vibracija i Aktivnom kontrolom zakretnog momenta za bušenje betona i sječenje (baterijska platforma Nuron) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 3.9 kg Optimalan raspon promjera udarnog bušenja: 10 - 25 mm Snaga pojedinačnog udara: 3.8 J Više informacija","publish","","","","","closed","r10481228","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r10481228","","https://alat.printeraduo.hr/wp-content/uploads/baterijska-udarna-builica-te-30-22.jpg ! alt :  ! title : baterijska-udarna-builica-te-30-22 ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r10481228","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","10 - 25 mm","1|1|0","3.9 kg","1|1|0"
"Udarna bušilica TE 30-ATC/AVR","udarna-builica-te-30-atcavr","","","<p>Snažna udarna bušilica SDS plus (TE-C) za veliko opterećenje pri bušenju i korektivnom klesanju betona s aktivnom kontrolom zakretnog momenta (ATC) i aktivnim smanjenjem vibracija (AVR) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 4 kg Optimalan raspon promjera udarnog bušenja: 10 - 20 mm Snaga pojedinačnog udara: 3.6 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 4 kg</li><li>Optimalan raspon promjera udarnog bušenja: 10 - 20 mm</li><li>Snaga pojedinačnog udara: 3.6 J</li><li>Način rada: Udarno bušenje, Klesanje, Podešavanje sjekača, Bušenje</li><li>Raspon promjera udarnog bušenja: 4 - 28 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 850 o/min</li><li>Potpuna frekvencija udarnog načina: 4500 udarci po minuti</li><li>Funkcionalnost: Aktivna kontrola zakretnog momenta (ATC), Aktivno smanjenje vibracija (AVR), Uklonjiva stezna glava, Obrnuti način, Mjerač dubine</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 10 m/s² 1</li><li>Triaksijalne vibracije za klesanje u betonu: 10.2 m/s² 2</li><li>Razina emisija jakosti zvuka, ponderirana s A: 91 dB (A) 3</li><li>Nazivna ulazna snaga: 1010 W</li><li>Mjere (D x Š x V): 371 x 109 x 218 mm</li></ul>","Snažna udarna bušilica SDS plus (TE-C) za veliko opterećenje pri bušenju i korektivnom klesanju betona s aktivnom kontrolom zakretnog momenta (ATC) i aktivnim smanjenjem vibracija (AVR) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 4 kg Optimalan raspon promjera udarnog bušenja: 10 - 20 mm Snaga pojedinačnog udara: 3.6 J Više informacija","publish","","","","","closed","r2856406","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r2856406","","https://alat.printeraduo.hr/wp-content/uploads/udarna-builica-te-30-atcavr.jpg ! alt :  ! title : udarna-builica-te-30-atcavr ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r2856406","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","10 - 20 mm","1|1|0","4 kg","1|1|0"
"Udarna bušilica TE 30-AVR","udarna-builica-te-30-avr","","","<p>Snažna udarna bušilica SDS Plus (TE-C) za veliko opterećenje pri bušenju i korektivnom klesanju betona s aktivnim smanjenjem vibracija (AVR) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 4.2 kg Optimalan raspon promjera udarnog bušenja: 10 - 20 mm Snaga pojedinačnog udara: 3.6 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 4.2 kg</li><li>Optimalan raspon promjera udarnog bušenja: 10 - 20 mm</li><li>Snaga pojedinačnog udara: 3.6 J</li><li>Način rada: Udarno bušenje, Bušenje, Podešavanje sjekača, Klesanje</li><li>Raspon promjera udarnog bušenja: 5 - 28 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 1100 o/min</li><li>Potpuna frekvencija udarnog načina: 4500 udarci po minuti</li><li>Funkcionalnost: Aktivno smanjenje vibracija (AVR), Klesanje, Uklonjiva stezna glava, Obrnuti način, Mjerač dubine</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 9.7 m/s² 1</li><li>Triaksijalne vibracije za klesanje u betonu: 8.8 m/s² 2</li><li>Razina emisija jakosti zvuka, ponderirana s A: 95 dB (A) 3</li><li>Nazivna ulazna snaga: 1010 W</li><li>Mjere (D x Š x V): 371 x 113 x 225 mm</li></ul>","Snažna udarna bušilica SDS Plus (TE-C) za veliko opterećenje pri bušenju i korektivnom klesanju betona s aktivnim smanjenjem vibracija (AVR) Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 4.2 kg Optimalan raspon promjera udarnog bušenja: 10 - 20 mm Snaga pojedinačnog udara: 3.6 J Više informacija","publish","","","","","closed","r6848759","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r6848759","","https://alat.printeraduo.hr/wp-content/uploads/udarna-builica-te-30-avr.jpg ! alt :  ! title : udarna-builica-te-30-avr ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r6848759","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","10 - 20 mm","1|1|0","4.2 kg","1|1|0"
"Udarna bušilica TE 30","udarna-builica-te-30","","","<p>Snažna udarna bušilica SDS Plus (TE-C) za bušenje betona za veliko opterećenje Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 4.1 kg Optimalan raspon promjera udarnog bušenja: 10 - 20 mm Snaga pojedinačnog udara: 3.6 J Više informacija</p><ul><li>Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 4.1 kg</li><li>Optimalan raspon promjera udarnog bušenja: 10 - 20 mm</li><li>Snaga pojedinačnog udara: 3.6 J</li><li>Način rada: Udarno bušenje, Bušenje</li><li>Raspon promjera udarnog bušenja: 4 - 28 mm</li><li>Broj okretaja u minuti pri udarnom bušenju: 1100 o/min</li><li>Potpuna frekvencija udarnog načina: 4500 udarci po minuti</li><li>Funkcionalnost: Uklonjiva stezna glava, Obrnuti način, Mjerač dubine</li><li>Vrijednost triaksijalnih vibracija za udarno bušenje u betonu (ah, HD): 14.4 m/s² 1</li><li>Razina emisija jakosti zvuka, ponderirana s A: 95 dB (A) 2</li><li>Nazivna ulazna snaga: 1010 W</li><li>Mjere (D x Š x V): 361 x 113 x 225 mm</li></ul>","Snažna udarna bušilica SDS Plus (TE-C) za bušenje betona za veliko opterećenje Težina u skladu s postupkom EPTA 01/2003 bez baterije.: 4.1 kg Optimalan raspon promjera udarnog bušenja: 10 - 20 mm Snaga pojedinačnog udara: 3.6 J Više informacija","publish","","","","","closed","r6848760","","","","","","","","","","","","","outofstock","outofstock","","","","no","taxable","","","U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu) U skladu s primjenjivim normama za proizvod (više pojedinosti potražite u Uputama za uporabu)","","","","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r6848760","","https://alat.printeraduo.hr/wp-content/uploads/udarna-builica-te-30.jpg ! alt :  ! title : udarna-builica-te-30 ! desc :  ! caption : ","","https://www.hilti.hr/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r6848760","","","","simple","outofstock","ELEKTRIČNI ALATI|ELEKTRIČNI ALATI > 230V NAPAJANJE > UDARNE BUŠILICE","","","","","10 - 20 mm","1|1|0","4.1 kg","1|1|0"
